date,weight
2021-02-26,180
2021-02-27,181
2021-02-28,182
2021-03-01,181
2021-03-02,180
2021-03-03,181
2021-03-04,182
2021-03-05,184
2021-03-06,183
2021-03-07,184
2021-03-08,182
2021-03-09,183
2021-03-10,184
2021-03-11,182
2021-03-12,181
2021-03-13,181
2021-03-14,180
2021-03-15,178
2021-03-16,177
2021-03-17,178
2021-03-18,177
2021-03-19,178
2021-03-20,177
2021-03-21,176
2021-03-22,175
2021-03-23,176
2021-03-24,175
2021-03-25,176
2021-03-26,176
2021-03-27,176
2021-03-28,178
2021-03-29,176
2021-03-30,178
2021-03-31,177
2021-04-01,177
2021-04-02,175
2021-04-03,174
2021-04-04,174
2021-04-05,175
2021-04-06,174
2021-04-07,176
2021-04-08,177
2021-04-09,175
2021-04-10,173
2021-04-11,174
2021-04-12,174
2021-04-13,175
2021-04-14,176
2021-04-15,174
2021-04-16,175
2021-04-17,176
2021-04-18,175
2021-04-19,174
2021-04-20,174
2021-04-21,173
2021-04-22,173
2021-04-23,171
2021-04-24,169
2021-04-25,168
2021-04-26,168
2021-04-27,170
2021-04-28,168
2021-04-29,168
2021-04-30,169
2021-05-01,170
2021-05-02,168
2021-05-03,168
2021-05-04,166
2021-05-05,168
2021-05-06,168
2021-05-07,169
2021-05-08,169
2021-05-09,168
2021-05-10,169
2021-05-11,170
2021-05-12,169
2021-05-13,168
2021-05-14,167
2021-05-15,165
2021-05-16,163
2021-05-17,161
2021-05-18,161
2021-05-19,162
2021-05-20,161
2021-05-21,161
2021-05-22,163
2021-05-23,163
2021-05-24,162
2021-05-25,164
2021-05-26,163
2021-05-27,163
2021-05-28,163
2021-05-29,162
2021-05-30,164
2021-05-31,165
2021-06-01,165
2021-06-02,167
2021-06-03,168
2021-06-04,170
2021-06-05,172
2021-06-06,170
2021-06-07,168
2021-06-08,169
2021-06-09,169
2021-06-10,168
2021-06-11,169
2021-06-12,169
2021-06-13,169
2021-06-14,168
2021-06-15,168
2021-06-16,167
2021-06-17,165
2021-06-18,165
2021-06-19,163
2021-06-20,162
2021-06-21,163
2021-06-22,162
2021-06-23,163
2021-06-24,163
2021-06-25,164
2021-06-26,166
2021-06-27,164
2021-06-28,166
2021-06-29,167
2021-06-30,166
2021-07-01,165
2021-07-02,164
2021-07-03,163
2021-07-04,165
2021-07-05,166
2021-07-06,166
2021-07-07,165
2021-07-08,167
2021-07-09,169
2021-07-10,169
2021-07-11,171
2021-07-12,169
2021-07-13,170
2021-07-14,172
2021-07-15,172
2021-07-16,171
2021-07-17,172
2021-07-18,171
2021-07-19,170
2021-07-20,171
2021-07-21,171
2021-07-22,169
2021-07-23,171
2021-07-24,169
2021-07-25,168
2021-07-26,169
2021-07-27,169
2021-07-28,169
2021-07-29,169
2021-07-30,170
2021-07-31,169
2021-08-01,170
2021-08-02,168
2021-08-03,168
2021-08-04,169
2021-08-05,167
2021-08-06,167
2021-08-07,169
2021-08-08,170
2021-08-09,170
2021-08-10,171
2021-08-11,171
2021-08-12,171
2021-08-13,172
2021-08-14,174
2021-08-15,176
2021-08-16,177
2021-08-17,177
2021-08-18,176
2021-08-19,178
2021-08-20,180
2021-08-21,179
2021-08-22,178
2021-08-23,177
2021-08-24,175
2021-08-25,175
2021-08-26,175
2021-08-27,174
2021-08-28,176
2021-08-29,177
2021-08-30,177
2021-08-31,176
2021-09-01,176
2021-09-02,175
2021-09-03,176
2021-09-04,177
2021-09-05,177
2021-09-06,176
2021-09-07,178
2021-09-08,179
2021-09-09,180
2021-09-10,179
2021-09-11,179
2021-09-12,178
2021-09-13,177
2021-09-14,179
2021-09-15,178
2021-09-16,177
2021-09-17,178
2021-09-18,179
2021-09-19,179
2021-09-20,180
2021-09-21,180
2021-09-22,179
2021-09-23,179
2021-09-24,179
2021-09-25,178
2021-09-26,178
2021-09-27,177
2021-09-28,177
2021-09-29,178
2021-09-30,176
2021-10-01,177
2021-10-02,178
2021-10-03,178
2021-10-04,176
2021-10-05,178
2021-10-06,180
2021-10-07,179
2021-10-08,179
2021-10-09,178
2021-10-10,178
2021-10-11,179
2021-10-12,179
2021-10-13,180
2021-10-14,181
2021-10-15,181
2021-10-16,182
2021-10-17,182
2021-10-18,181
2021-10-19,182
2021-10-20,182
2021-10-21,180
2021-10-22,178
2021-10-23,179
2021-10-24,180
2021-10-25,182
2021-10-26,182
2021-10-27,181
2021-10-28,180
2021-10-29,178
2021-10-30,178
2021-10-31,178
2021-11-01,179
2021-11-02,177
2021-11-03,176
2021-11-04,174
2021-11-05,175
2021-11-06,177
2021-11-07,177
2021-11-08,176
2021-11-09,174
2021-11-10,175
2021-11-11,175
2021-11-12,174
2021-11-13,174
2021-11-14,175
2021-11-15,173
2021-11-16,173
2021-11-17,173
2021-11-18,174
2021-11-19,172
2021-11-20,172
2021-11-21,171
2021-11-22,171
2021-11-23,172
2021-11-24,170
2021-11-25,168
2021-11-26,168
2021-11-27,169
2021-11-28,169
2021-11-29,170
2021-11-30,171
2021-12-01,172
2021-12-02,173
2021-12-03,172
2021-12-04,172
2021-12-05,173
2021-12-06,173
2021-12-07,172
2021-12-08,172
2021-12-09,171
2021-12-10,169
2021-12-11,167
2021-12-12,169
2021-12-13,171
2021-12-14,171
2021-12-15,170
2021-12-16,171
2021-12-17,171
2021-12-18,170
2021-12-19,169
2021-12-20,170
2021-12-21,171
2021-12-22,169
2021-12-23,170
2021-12-24,170
2021-12-25,170
2021-12-26,171
2021-12-27,171
2021-12-28,170
2021-12-29,170
2021-12-30,171
2021-12-31,169
2022-01-01,169
2022-01-02,169
2022-01-03,168
2022-01-04,169
2022-01-05,170
2022-01-06,169
2022-01-07,167
2022-01-08,165
2022-01-09,165
2022-01-10,166
2022-01-11,164
2022-01-12,164
2022-01-13,163
2022-01-14,165
2022-01-15,166
2022-01-16,166
2022-01-17,164
2022-01-18,163
2022-01-19,165
2022-01-20,164
2022-01-21,165
2022-01-22,164
2022-01-23,163
2022-01-24,165
2022-01-25,167
2022-01-26,167
2022-01-27,166
2022-01-28,165
2022-01-29,166
2022-01-30,166
2022-01-31,164
2022-02-01,163
2022-02-02,162
2022-02-03,164
2022-02-04,162
2022-02-05,162
2022-02-06,162
2022-02-07,160
2022-02-08,158
2022-02-09,156
2022-02-10,157
2022-02-11,156
2022-02-12,157
2022-02-13,158
2022-02-14,158
2022-02-15,159
2022-02-16,157
2022-02-17,157
2022-02-18,157
2022-02-19,155
2022-02-20,157
2022-02-21,157
2022-02-22,156
2022-02-23,155
2022-02-24,154
2022-02-25,152
2022-02-26,153
2022-02-27,152
2022-02-28,154
2022-03-01,154
2022-03-02,154
2022-03-03,153
2022-03-04,152
2022-03-05,153
2022-03-06,152
2022-03-07,153
2022-03-08,153
2022-03-09,154
2022-03-10,155
2022-03-11,156
2022-03-12,158
2022-03-13,158
2022-03-14,158
2022-03-15,157
2022-03-16,157
2022-03-17,158
2022-03-18,158
2022-03-19,159
2022-03-20,160
2022-03-21,160
2022-03-22,160
2022-03-23,162
2022-03-24,160
2022-03-25,161
2022-03-26,160
2022-03-27,159
2022-03-28,159
2022-03-29,158
2022-03-30,157
2022-03-31,158
2022-04-01,158
2022-04-02,159
2022-04-03,160
2022-04-04,162
2022-04-05,162
2022-04-06,162
2022-04-07,161
2022-04-08,163
2022-04-09,161
2022-04-10,161
2022-04-11,160
2022-04-12,160
2022-04-13,161
2022-04-14,162
2022-04-15,163
2022-04-16,164
2022-04-17,163
2022-04-18,163
2022-04-19,161
2022-04-20,160
2022-04-21,160
2022-04-22,159
2022-04-23,159
2022-04-24,161
2022-04-25,160
2022-04-26,160
2022-04-27,160
2022-04-28,160
2022-04-29,158
2022-04-30,158
2022-05-01,157
2022-05-02,156
2022-05-03,157
2022-05-04,157
2022-05-05,158
2022-05-06,157
2022-05-07,155
2022-05-08,154
2022-05-09,155
2022-05-10,157
2022-05-11,155
2022-05-12,155
2022-05-13,155
2022-05-14,156
2022-05-15,154
2022-05-16,154
2022-05-17,155
2022-05-18,154
2022-05-19,154
2022-05-20,154
2022-05-21,154
2022-05-22,155
2022-05-23,153
2022-05-24,153
2022-05-25,151
2022-05-26,151
2022-05-27,150
2022-05-28,151
2022-05-29,151
2022-05-30,150
2022-05-31,151
2022-06-01,152
2022-06-02,152
2022-06-03,152
2022-06-04,150
2022-06-05,152
2022-06-06,151
2022-06-07,150
2022-06-08,150
2022-06-09,149
2022-06-10,149
2022-06-11,147
2022-06-12,147
2022-06-13,147
2022-06-14,147
2022-06-15,146
2022-06-16,146
2022-06-17,146
2022-06-18,147
2022-06-19,146
2022-06-20,148
2022-06-21,148
2022-06-22,149
2022-06-23,147
2022-06-24,146
2022-06-25,147
2022-06-26,146
2022-06-27,146
2022-06-28,146
2022-06-29,144
2022-06-30,146
2022-07-01,145
2022-07-02,146
2022-07-03,147
2022-07-04,145
2022-07-05,146
2022-07-06,148
2022-07-07,149
2022-07-08,151
2022-07-09,150
2022-07-10,151
2022-07-11,151
2022-07-12,149
2022-07-13,148
2022-07-14,149
2022-07-15,150
2022-07-16,152
2022-07-17,152
2022-07-18,153
2022-07-19,155
2022-07-20,155
2022-07-21,155
2022-07-22,157
2022-07-23,157
2022-07-24,155
2022-07-25,155
2022-07-26,155
2022-07-27,155
2022-07-28,156
2022-07-29,156
2022-07-30,156
2022-07-31,155
2022-08-01,153
2022-08-02,151
2022-08-03,152
2022-08-04,151
2022-08-05,152
2022-08-06,150
2022-08-07,149
2022-08-08,149
2022-08-09,150
2022-08-10,149
2022-08-11,151
2022-08-12,153
2022-08-13,154
2022-08-14,154
2022-08-15,152
2022-08-16,153
2022-08-17,152
2022-08-18,154
2022-08-19,155
2022-08-20,155
2022-08-21,153
2022-08-22,151
2022-08-23,152
2022-08-24,151
2022-08-25,152
2022-08-26,153
2022-08-27,153
2022-08-28,152
2022-08-29,150
2022-08-30,151
2022-08-31,151
2022-09-01,150
2022-09-02,148
2022-09-03,150
2022-09-04,151
2022-09-05,150
2022-09-06,151
2022-09-07,153
2022-09-08,154
2022-09-09,154
2022-09-10,153
2022-09-11,155
2022-09-12,155
2022-09-13,157
2022-09-14,156
2022-09-15,155
2022-09-16,155
2022-09-17,156
2022-09-18,157
2022-09-19,156
2022-09-20,155
2022-09-21,155
2022-09-22,156
2022-09-23,156
2022-09-24,155
2022-09-25,155
2022-09-26,155
2022-09-27,156
2022-09-28,157
2022-09-29,156
2022-09-30,155
2022-10-01,156
2022-10-02,157
2022-10-03,157
2022-10-04,155
2022-10-05,154
2022-10-06,155
2022-10-07,153
2022-10-08,152
2022-10-09,151
2022-10-10,152
2022-10-11,152
2022-10-12,151
2022-10-13,152
2022-10-14,151
2022-10-15,151
2022-10-16,149
2022-10-17,150
2022-10-18,150
2022-10-19,152
2022-10-20,152
2022-10-21,152
2022-10-22,152
2022-10-23,151
2022-10-24,153
2022-10-25,152
2022-10-26,152
2022-10-27,151
2022-10-28,150
2022-10-29,151
2022-10-30,150
2022-10-31,151
2022-11-01,151
2022-11-02,151
2022-11-03,153
2022-11-04,155
2022-11-05,153
2022-11-06,155
2022-11-07,157
2022-11-08,155
2022-11-09,153
2022-11-10,154
2022-11-11,154
2022-11-12,154
2022-11-13,152
2022-11-14,153
2022-11-15,152
2022-11-16,154
2022-11-17,156
2022-11-18,155
2022-11-19,155
2022-11-20,156
2022-11-21,156
2022-11-22,154
2022-11-23,156
2022-11-24,155
2022-11-25,157
2022-11-26,156
2022-11-27,157
2022-11-28,157
2022-11-29,156
2022-11-30,155
2022-12-01,156
2022-12-02,156
2022-12-03,157
2022-12-04,157
2022-12-05,155
2022-12-06,154
2022-12-07,156
2022-12-08,155
2022-12-09,154
2022-12-10,153
2022-12-11,153
2022-12-12,152
2022-12-13,152
2022-12-14,152
2022-12-15,150
2022-12-16,150
2022-12-17,152
2022-12-18,152
2022-12-19,153
2022-12-20,154
2022-12-21,153
2022-12-22,151
2022-12-23,151
2022-12-24,153
2022-12-25,151
2022-12-26,152
2022-12-27,151
2022-12-28,150
2022-12-29,152
2022-12-30,153
2022-12-31,152
2023-01-01,152
2023-01-02,152
2023-01-03,153
2023-01-04,154
2023-01-05,154
2023-01-06,155
2023-01-07,153
2023-01-08,153
2023-01-09,152
2023-01-10,152
2023-01-11,153
2023-01-12,154
2023-01-13,155
2023-01-14,154
2023-01-15,155
2023-01-16,154
2023-01-17,153
2023-01-18,153
2023-01-19,154
2023-01-20,154
2023-01-21,155
2023-01-22,154
2023-01-23,155
2023-01-24,155
2023-01-25,156
2023-01-26,157
2023-01-27,155
2023-01-28,154
2023-01-29,155
2023-01-30,155
2023-01-31,156
2023-02-01,157
2023-02-02,158
2023-02-03,159
2023-02-04,159
2023-02-05,161
2023-02-06,161
2023-02-07,161
2023-02-08,162
2023-02-09,163
2023-02-10,165
2023-02-11,163
2023-02-12,163
2023-02-13,163
2023-02-14,164
2023-02-15,166
2023-02-16,166
2023-02-17,165
2023-02-18,164
2023-02-19,165
2023-02-20,164
2023-02-21,166
2023-02-22,167
2023-02-23,166
2023-02-24,165
2023-02-25,164
